data,lancamento,valor
11/03/2020,Magalu *magazinelu10/10,147.9
11/03/2020,Mercpag*mercadoliv10/10,28.89
14/04/2020,Ec*mercadolivre   09/12,37.16
14/06/2020,Parc=110netshoes*n07/10,41.44
29/07/2020,Parc=110magalu Pag06/10,60.49
11/08/2020,Ame Digital       05/05,26.42
02/09/2020,Nike Com Br       05/08,43.81
11/09/2020,Levi S            04/05,39.98
15/09/2020,Parc=110carrefour.04/10,92.9
28/09/2020,Oticas Vitoria    04/06,65
15/10/2020,Grupo Drk         03/03,56
27/10/2020,Tagarela          03/04,24.99
27/10/2020,L F Pacheco Me    03/03,70
30/10/2020,Thais Rodrigues   03/04,25.44
11/11/2020,Parc=108ponto Frio.c*24,-0.28
11/11/2020,Parc=108ponto Frio02/08,80.51
23/11/2020,Ammalis Moda Femin02/06,28.3
11/12/2020,Anuidade Diferenci12/12,25
11/12/2020,Credito Anuidade Difere,-25
11/12/2020,Giga,35.98
11/12/2020,Ame Digital,118.37
11/12/2020,Kalunga Sao Jose  01/03,50.31
11/12/2020,Ame Digital       01/04,40.24
12/12/2020,Lojas E D +       01/03,26.67
13/12/2020,Supermercado Jb De Frut,38.06
13/12/2020,Lagoon Pizzaria,67.63
13/12/2020,Selfit *mensal Dez/20,69.9
13/12/2020,Selfit *mensal Dez/20,99.9
15/12/2020,Tokio             01/03,33.33
15/12/2020,Drogarias Ultrapop01/02,44.5
15/12/2020,Lojao Do Bras     01/02,23
16/12/2020,Uber        *trip,5.16
16/12/2020,Uber        *trip,12.57
16/12/2020,Carbo Rio Comercio01/04,174.75
17/12/2020,Shark Burguer,83.2
18/12/2020,Claudia Adriana Doming,100
18/12/2020,Ame Digital,10.02
19/12/2020,Supermercado Guairense,31.08
19/12/2020,Ame Digital,15.96
20/12/2020,Julio's Sorvetes,10.2
20/12/2020,Ame Digital,112.09
21/12/2020,Pad. E Conf. Todo Dia,9.84
21/12/2020,Martins Frios E Mecear,35
22/12/2020,Ifood       *ifood,30.9
22/12/2020,Brazilian Gourmet Rest,63.3
22/12/2020,Parsek Malhas     01/02,33
22/12/2020,Ame Digital       01/02,26.47
23/12/2020,Pst 387 Pcp Carrefour,71.29
23/12/2020,Pag*coxinhasdouradas,75
24/12/2020,Gelafrutti,38
24/12/2020,Tenda Atacado,80.86
24/12/2020,Higa Atacado,19.5
26/12/2020,Vila Supermercados Cam,33.29
26/12/2020,Pizzaria Everelly,38.8
28/12/2020,Laticinio Riacho Doce,60.04
28/12/2020,Lt Gas E Agua Mineral,22
28/12/2020,Lojas Tokio       01/02,38.85
29/12/2020,Martins Frios E Mecear,19
29/12/2020,Ifood       *ifood,45
29/12/2020,Pag*biancamaria   01/05,205.21
30/12/2020,Chiquinho Sorvetes,14
30/12/2020,Ifood       *ifood,30.89
30/12/2020,Parsek Malhas     01/02,45
30/12/2020,Lojas Tokio       01/02,38.85
31/12/2020,Ame Digital,50
02/01/2021,Liberty Seguros,123.56
02/01/2021,Ame Digital,50
04/01/2021,Ifood       *ifood,41.9
04/01/2021,Linxpay     *taco Bell,40.9
05/01/2021,Drogaria Abrao Thome,22
06/01/2021,Uber* Trip,6.14
09/01/2021,Lupo Plaza,19.9
09/01/2021,Ame Digital,30
